[2025-10-25 21:43:22] Epoch 54/80 | Train: 56.66% (loss: 3.2573) | Val: 60.15% (loss: 2.1418) | LR: 0.214636 | Best: 58.90%
[2025-10-25 21:44:10] Epoch 55/80 | Train: 56.99% (loss: 3.2387) | Val: 56.76% (loss: 2.4304) | LR: 0.199956 | Best: 60.15%
[2025-10-25 21:44:57] Epoch 56/80 | Train: 57.68% (loss: 3.2199) | Val: 60.70% (loss: 2.2412) | LR: 0.185626 | Best: 60.15%
[2025-10-25 21:45:45] Epoch 57/80 | Train: 57.98% (loss: 3.1822) | Val: 60.89% (loss: 2.2467) | LR: 0.171673 | Best: 60.70%
[2025-10-25 21:46:33] Epoch 58/80 | Train: 58.46% (loss: 3.1777) | Val: 59.49% (loss: 2.2983) | LR: 0.158120 | Best: 60.89%
[2025-10-25 21:47:20] Epoch 59/80 | Train: 58.98% (loss: 3.1497) | Val: 62.45% (loss: 2.1405) | LR: 0.144992 | Best: 60.89%
[2025-10-25 21:48:08] Epoch 60/80 | Train: 59.56% (loss: 3.1234) | Val: 62.51% (loss: 2.0226) | LR: 0.132311 | Best: 62.45%
[2025-10-25 21:49:21] Epoch 61/80 | Train: 60.37% (loss: 3.0571) | Val: 63.89% (loss: 2.0104) | LR: 0.120099 | Best: 62.51%
[2025-10-25 21:50:09] Epoch 62/80 | Train: 60.83% (loss: 3.0614) | Val: 63.70% (loss: 2.1095) | LR: 0.108379 | Best: 63.89%
[2025-10-25 21:50:55] Epoch 63/80 | Train: 61.62% (loss: 3.0292) | Val: 64.61% (loss: 2.0892) | LR: 0.097170 | Best: 63.89%
[2025-10-25 21:51:43] Epoch 64/80 | Train: 62.21% (loss: 2.9872) | Val: 65.92% (loss: 2.0017) | LR: 0.086492 | Best: 64.61%
[2025-10-25 21:52:31] Epoch 65/80 | Train: 62.92% (loss: 2.9658) | Val: 66.75% (loss: 2.1408) | LR: 0.076365 | Best: 65.92%
[2025-10-25 21:53:19] Epoch 66/80 | Train: 63.71% (loss: 2.9220) | Val: 66.40% (loss: 1.9343) | LR: 0.066805 | Best: 66.75%
[2025-10-25 21:54:06] Epoch 67/80 | Train: 64.46% (loss: 2.8923) | Val: 68.47% (loss: 1.9750) | LR: 0.057829 | Best: 66.75%
[2025-10-25 21:54:54] Epoch 68/80 | Train: 65.25% (loss: 2.8494) | Val: 69.10% (loss: 1.9270) | LR: 0.049455 | Best: 68.47%
[2025-10-25 21:55:42] Epoch 69/80 | Train: 66.35% (loss: 2.8026) | Val: 69.60% (loss: 1.8608) | LR: 0.041694 | Best: 69.10%
[2025-10-25 21:56:30] Epoch 70/80 | Train: 66.98% (loss: 2.7837) | Val: 70.31% (loss: 1.9258) | LR: 0.034563 | Best: 69.60%
[2025-10-25 21:57:18] Epoch 71/80 | Train: 67.95% (loss: 2.7427) | Val: 71.96% (loss: 1.7317) | LR: 0.028073 | Best: 70.31%
[2025-10-25 21:58:06] Epoch 72/80 | Train: 68.76% (loss: 2.7056) | Val: 72.29% (loss: 1.7135) | LR: 0.022235 | Best: 71.96%
[2025-10-25 21:58:54] Epoch 73/80 | Train: 69.71% (loss: 2.6689) | Val: 72.64% (loss: 1.8165) | LR: 0.017060 | Best: 72.29%
[2025-10-25 21:59:42] Epoch 74/80 | Train: 70.39% (loss: 2.6232) | Val: 73.62% (loss: 1.7096) | LR: 0.012557 | Best: 72.64%
[2025-10-25 22:00:30] Epoch 75/80 | Train: 71.43% (loss: 2.5775) | Val: 73.99% (loss: 1.6781) | LR: 0.008733 | Best: 73.62%
[2025-10-25 22:01:18] Epoch 76/80 | Train: 71.86% (loss: 2.5715) | Val: 74.22% (loss: 1.8616) | LR: 0.005596 | Best: 73.99%
[2025-10-25 22:02:07] Epoch 77/80 | Train: 72.33% (loss: 2.5481) | Val: 74.63% (loss: 1.8290) | LR: 0.003151 | Best: 74.22%
[2025-10-25 22:02:55] Epoch 78/80 | Train: 72.82% (loss: 2.5150) | Val: 75.13% (loss: 1.6766) | LR: 0.001402 | Best: 74.63%
[2025-10-25 22:03:43] Epoch 79/80 | Train: 72.91% (loss: 2.5019) | Val: 75.09% (loss: 1.6600) | LR: 0.000352 | Best: 75.13%
